dep;semaine;sursaud_cl_age_corona;Nbre_pass_Corona;Nbre_pass_tot;Nbre_hospit_Corona;Nbre_acte_corona;Nbre_acte_tot
12;2020-S10;E;0;159;0;;
12;2020-S11;0;0;908;0;;
12;2020-S11;A;0;154;0;;
12;2020-S11;B;0;330;0;;
12;2020-S11;C;0;181;0;;
12;2020-S11;D;0;96;0;;
12;2020-S11;E;0;147;0;;
12;2020-S12;0;3;485;0;;
12;2020-S12;A;0;62;0;;
12;2020-S12;B;2;161;0;;
12;2020-S12;C;1;117;0;;
12;2020-S12;D;0;48;0;;
12;2020-S12;E;0;97;0;;
12;2020-S13;0;3;396;0;;
12;2020-S13;A;0;34;0;;
12;2020-S13;B;0;123;0;;
12;2020-S13;C;2;103;0;;
12;2020-S13;D;1;60;0;;
12;2020-S13;E;0;76;0;;
12;2020-S14;0;0;380;0;;
12;2020-S14;A;0;35;0;;
12;2020-S14;B;0;124;0;;
12;2020-S14;C;0;87;0;;
12;2020-S14;D;0;52;0;;
12;2020-S14;E;0;82;0;;
12;2020-S15;0;2;437;1;;
12;2020-S15;A;0;50;0;;
12;2020-S15;B;0;134;0;;
12;2020-S15;C;1;90;1;;
12;2020-S15;D;0;57;0;;
12;2020-S15;E;1;106;0;;
12;2020-S16;0;0;482;0;;
12;2020-S16;A;0;66;0;;
12;2020-S16;B;0;149;0;;
12;2020-S16;C;0;113;0;;
12;2020-S16;D;0;50;0;;
12;2020-S16;E;0;104;0;;
12;2020-S17;0;2;554;2;;
12;2020-S17;A;0;56;0;;
12;2020-S17;B;0;182;0;;
12;2020-S17;C;0;129;0;;
12;2020-S17;D;0;61;0;;
12;2020-S17;E;2;126;2;;
13;2020-S10;0;40;9796;17;8;1459
13;2020-S10;A;6;2440;2;2;542
13;2020-S10;B;20;3668;10;3;521
13;2020-S10;C;7;1734;1;1;206
13;2020-S10;D;4;659;2;1;62
13;2020-S10;E;3;1295;2;1;122
13;2020-S11;0;52;9236;20;50;1837
13;2020-S11;A;0;2426;0;12;699
13;2020-S11;B;18;3300;2;26;680
13;2020-S11;C;17;1701;2;7;234
13;2020-S11;D;2;640;2;2;84
13;2020-S11;E;15;1169;14;1;127
13;2020-S12;0;241;6133;116;172;1431
13;2020-S12;A;5;1169;0;35;528
13;2020-S12;B;98;2246;24;81;537
13;2020-S12;C;84;1398;42;33;205
13;2020-S12;D;23;492;21;16;76
13;2020-S12;E;31;828;29;7;85
13;2020-S13;0;738;5940;410;231;1528
13;2020-S13;A;8;773;0;27;384
13;2020-S13;B;246;2212;70;113;633
13;2020-S13;C;269;1563;152;59;271
13;2020-S13;D;94;558;77;14;98
13;2020-S13;E;121;834;111;18;142
13;2020-S14;0;595;5662;303;153;1417
13;2020-S14;A;7;717;1;10;278
13;2020-S14;B;192;2143;42;84;546
13;2020-S14;C;188;1420;89;34;294
13;2020-S14;D;99;511;76;12;107
13;2020-S14;E;109;871;95;13;192
13;2020-S15;0;434;5362;229;135;1359
13;2020-S15;A;4;792;0;16;280
13;2020-S15;B;140;1854;35;71;522
13;2020-S15;C;130;1316;66;29;272
13;2020-S15;D;60;502;46;6;101
13;2020-S15;E;100;898;82;13;184
13;2020-S16;0;281;5703;153;85;1224
13;2020-S16;A;4;866;0;6;235
13;2020-S16;B;82;2004;17;45;467
13;2020-S16;C;88;1356;44;26;264
13;2020-S16;D;33;519;23;2;96
13;2020-S16;E;74;958;69;6;160
13;2020-S17;0;214;5970;122;57;1264
13;2020-S17;A;0;874;0;8;252
13;2020-S17;B;63;2112;14;27;453
13;2020-S17;C;58;1413;26;13;252
13;2020-S17;D;30;549;24;3;111
13;2020-S17;E;63;1022;58;6;195
14;2020-S10;0;17;3068;8;6;2697
14;2020-S10;A;2;676;0;1;844
14;2020-S10;B;10;1061;4;4;1220
14;2020-S10;C;4;540;3;0;374
14;2020-S10;D;1;315;1;1;101
14;2020-S10;E;0;476;0;0;158
14;2020-S11;0;141;2805;13;61;2789
14;2020-S11;A;13;628;1;11;908
14;2020-S11;B;71;1053;5;37;1288
14;2020-S11;C;33;501;2;11;358
14;2020-S11;D;17;237;1;0;73
14;2020-S11;E;7;386;4;2;162
14;2020-S12;0;292;1900;35;317;1763
14;2020-S12;A;3;289;1;51;494
14;2020-S12;B;171;677;9;191;808
14;2020-S12;C;94;437;10;53;262
14;2020-S12;D;9;195;3;12;81
14;2020-S12;E;15;302;12;10;115
14;2020-S13;0;227;1643;77;444;1493
14;2020-S13;A;2;234;0;29;281
14;2020-S13;B;95;549;10;302;737
14;2020-S13;C;66;385;21;79;245
14;2020-S13;D;23;189;14;18;90
14;2020-S13;E;41;286;32;16;140
14;2020-S14;0;231;1623;96;281;1283
14;2020-S14;A;2;216;0;18;210
14;2020-S14;B;90;553;14;177;617
14;2020-S14;C;66;389;27;64;233
14;2020-S14;D;32;183;22;13;86
14;2020-S14;E;41;282;33;9;137
14;2020-S15;0;144;1798;68;169;1207
14;2020-S15;A;2;269;0;7;203
14;2020-S15;B;48;529;11;112;565
14;2020-S15;C;54;433;23;31;205
14;2020-S15;D;19;230;16;10;89
14;2020-S15;E;21;337;18;9;145
14;2020-S16;0;99;1728;49;99;1225
14;2020-S16;A;1;243;1;5;204
14;2020-S16;B;36;548;7;60;541
14;2020-S16;C;28;396;10;26;223
14;2020-S16;D;12;194;11;3;77
14;2020-S16;E;22;346;20;5;180
14;2020-S17;0;93;1937;58;67;1191
14;2020-S17;A;2;308;1;2;212
14;2020-S17;B;28;602;11;33;511
14;2020-S17;C;27;418;17;17;219
14;2020-S17;D;16;240;11;10;101
14;2020-S17;E;20;369;18;5;148
15;2020-S10;0;0;556;0;;
15;2020-S10;A;0;84;0;;
15;2020-S10;B;0;185;0;;
15;2020-S10;C;0;128;0;;
15;2020-S10;D;0;38;0;;
15;2020-S10;E;0;121;0;;
15;2020-S11;0;2;575;2;;
15;2020-S11;A;0;94;0;;
15;2020-S11;B;0;181;0;;
15;2020-S11;C;0;117;0;;
15;2020-S11;D;1;59;1;;
15;2020-S11;E;1;124;1;;
15;2020-S12;0;12;303;8;;
15;2020-S12;A;0;41;0;;
15;2020-S12;B;3;75;1;;
15;2020-S12;C;2;76;0;;
15;2020-S12;D;3;38;3;;
15;2020-S12;E;4;73;4;;
15;2020-S13;0;61;293;25;;
15;2020-S13;A;0;25;0;;
15;2020-S13;B;21;89;1;;
15;2020-S13;C;20;69;8;;
15;2020-S13;D;6;33;5;;
15;2020-S13;E;14;77;11;;
15;2020-S14;0;39;287;19;;
15;2020-S14;A;0;32;0;;
15;2020-S14;B;15;80;2;;
15;2020-S14;C;9;69;4;;
15;2020-S14;D;4;35;2;;
15;2020-S14;E;11;71;11;;
15;2020-S15;0;9;298;7;;
15;2020-S15;A;0;25;0;;
15;2020-S15;B;1;82;0;;
15;2020-S15;C;1;77;1;;
15;2020-S15;D;2;33;1;;
15;2020-S15;E;5;81;5;;
15;2020-S16;0;8;329;4;;
15;2020-S16;A;0;46;0;;
15;2020-S16;B;3;81;1;;
15;2020-S16;C;2;69;0;;
15;2020-S16;D;1;40;1;;
15;2020-S16;E;2;93;2;;
15;2020-S17;0;17;339;9;;
15;2020-S17;A;0;27;0;;
15;2020-S17;B;6;88;2;;
15;2020-S17;C;2;82;0;;
15;2020-S17;D;1;44;0;;
15;2020-S17;E;8;98;7;;
16;2020-S10;0;0;1577;0;;
16;2020-S10;A;0;125;0;;
16;2020-S10;B;0;564;0;;
16;2020-S10;C;0;341;0;;
16;2020-S10;D;0;171;0;;
16;2020-S10;E;0;376;0;;
